timestamp,gesture
2026-09-17 16:19:00,Thumbs up
2026-09-17 16:19:01,3 ngon tay
2026-09-17 16:19:01,3 ngon tay
2026-09-17 16:19:02,3 ngon tay
2026-09-17 16:19:03,3 ngon tay
2026-09-17 16:19:03,3 ngon tay
2026-09-17 16:19:04,3 ngon tay
2026-09-17 16:19:04,3 ngon tay
2026-09-17 16:19:05,Nam tay
2026-09-17 16:19:06,Nam tay
2026-09-17 16:19:06,3 ngon tay
2026-09-17 16:19:07,Xoe tay
2026-09-17 16:19:07,Xoe tay
2026-09-17 16:19:07,Xoe tay
2026-09-17 16:19:07,Xoe tay
2026-09-17 16:19:08,3 ngon tay
2026-09-17 16:19:08,4 ngon tay
2026-09-17 16:19:08,4 ngon tay
2026-09-17 16:19:08,4 ngon tay
2026-09-17 16:19:09,Xoe tay
2026-09-17 16:19:09,Xoe tay
2026-09-17 16:19:09,4 ngon tay
2026-09-17 16:19:09,Xoe tay
2026-09-17 16:19:10,4 ngon tay
2026-09-17 16:19:10,Xoe tay
2026-09-17 16:19:11,Xoe tay
2026-09-17 16:19:11,Xoe tay
2026-09-17 16:19:11,Xoe tay
2026-09-17 16:19:11,Xoe tay
2026-09-17 16:19:12,4 ngon tay
2026-09-17 16:19:12,4 ngon tay
2026-09-17 16:19:12,4 ngon tay
2026-09-17 16:19:12,4 ngon tay
2026-09-17 16:19:13,4 ngon tay
2026-09-17 16:19:13,Xoe tay
2026-09-17 16:19:13,4 ngon tay
2026-09-17 16:19:13,2 ngon tay
2026-09-17 16:19:14,4 ngon tay
2026-09-17 16:19:14,2 ngon tay
2026-09-17 16:19:14,4 ngon tay
2026-09-17 16:19:14,2 ngon tay
2026-09-17 16:19:15,4 ngon tay
2026-09-17 16:19:15,2 ngon tay
2026-09-17 16:19:15,4 ngon tay
2026-09-17 16:19:15,1 ngon tay
2026-09-17 16:19:16,Nam tay
2026-09-17 16:19:17,Nam tay
2026-09-17 16:19:18,Nam tay
2026-09-17 16:19:18,4 ngon tay
2026-09-17 16:19:19,Nam tay
2026-09-17 16:25:17,4 ngon tay
2026-09-17 16:25:17,4 ngon tay
2026-09-17 16:25:17,Thumbs up
2026-09-17 16:25:17,4 ngon tay
2026-09-17 16:25:18,1 ngon tay
2026-09-17 16:25:18,1 ngon tay
2026-09-17 16:25:18,1 ngon tay
2026-09-17 16:25:18,2 ngon tay
2026-09-17 16:25:19,Nam tay
2026-09-17 16:25:19,Nam tay
2026-09-17 16:25:20,3 ngon tay
2026-09-17 16:25:20,3 ngon tay
2026-09-17 16:25:20,3 ngon tay
2026-09-17 16:25:20,3 ngon tay
2026-09-17 16:25:21,3 ngon tay
2026-09-17 16:25:21,3 ngon tay
2026-09-17 16:25:21,3 ngon tay
2026-09-17 16:25:21,3 ngon tay
2026-09-17 16:25:22,4 ngon tay
2026-09-17 16:25:22,4 ngon tay
2026-09-17 16:25:22,4 ngon tay
2026-09-17 16:25:22,4 ngon tay
2026-09-17 16:25:23,4 ngon tay
2026-09-17 16:25:23,4 ngon tay
2026-09-17 16:25:23,4 ngon tay
2026-09-17 16:25:23,4 ngon tay
2026-09-17 16:25:24,Xoe tay
2026-09-17 16:25:24,Xoe tay
2026-09-17 16:25:24,Xoe tay
2026-09-17 16:25:24,Xoe tay
2026-09-17 16:25:25,Xoe tay
2026-09-17 16:25:25,Xoe tay
2026-09-17 16:25:25,Xoe tay
2026-09-17 16:25:25,Xoe tay
2026-09-17 16:25:26,4 ngon tay
2026-09-17 16:25:26,1 ngon tay
2026-09-17 16:25:26,4 ngon tay
2026-09-17 16:25:26,1 ngon tay
2026-09-17 16:25:27,3 ngon tay
2026-09-17 16:25:27,Nam tay
2026-09-17 16:25:27,3 ngon tay
2026-09-17 16:25:27,3 ngon tay
2026-09-17 16:25:28,3 ngon tay
2026-09-17 16:25:28,3 ngon tay
2026-09-17 16:25:28,3 ngon tay
2026-09-17 16:25:28,3 ngon tay
2026-09-17 16:25:29,2 ngon tay
2026-09-17 16:25:29,Nam tay
2026-09-17 16:25:29,2 ngon tay
2026-09-17 16:25:29,Nam tay
2026-09-17 16:25:30,Nam tay
2026-09-17 16:25:30,Nam tay
2026-09-17 16:25:30,Nam tay
2026-09-17 16:25:30,Nam tay
2026-09-17 16:25:31,Nam tay
2026-09-17 16:25:31,Thumbs up
2026-09-17 16:25:31,Nam tay
2026-09-17 16:25:31,Thumbs up
2026-09-17 16:25:32,Nam tay
2026-09-17 16:25:32,Thumbs up
2026-09-17 16:25:32,Nam tay
2026-09-17 16:25:32,Thumbs up
2026-09-17 16:25:33,Nam tay
2026-09-17 16:25:33,Thumbs up
2026-09-17 16:25:33,Nam tay
2026-09-17 16:25:33,Thumbs up
2026-09-17 16:25:34,Nam tay
